roc_auc_score,auc_pr,f05,f2,f1,precision,recall,accuracy,trial_name
0.973638433,0.967057982,0.901934147,0.927099558,0.914343729,0.893846552,0.935803027,0.918111997,lgb+vanilla
0.993623735,0.992381001,0.95589996,0.96931067,0.962558607,0.951511808,0.97386492,0.964615774,xgb+vanilla
0.985057209,0.980807398,0.922864534,0.948491169,0.935502384,0.914627304,0.957352609,0.938346626,lgb+vanilla
0.99738816,0.996860009,0.972156425,0.98004055,0.976082567,0.969556497,0.982697086,0.977507701,xgb+vanilla
0.998640952,0.998245455,0.983449517,0.986777978,0.985110936,0.982345013,0.987892478,0.986053087,lgb+bayesian
0.990355298,0.988215231,0.940586887,0.960925201,0.950647276,0.933997428,0.967901513,0.953063679,xgb+bayesian
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,f1,precision,recall,,,
,,lgb,0.914343729,0.893846552,0.935803027,,,
,,lgb + ft,0.935502384,0.914627304,0.957352609,,,
,,lgb + ft + bo,0.985110936,0.982345013,0.987892478,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,f1,precision,recall,,,
,,xgb,0.962558607,0.951511808,0.97386492,,,
,,xgb + ft,0.976082567,0.969556497,0.982697086,,,
,,xgb + ft + bo,0.950647276,0.933997428,0.967901513,,,0.9850572089417471,0.9808073977862602,0.9228645338861259,0.948491169019506,0.9355023838954617,0.9146273037248047,0.9573526089902868,0.9383466261552095,lgb+vanilla
0.9973881596374683,0.996860008980735,0.9721564245810055,0.9800405496733499,0.9760825667489343,0.9695564965455761,0.9826970860627965,0.9775077013968013,xgb+vanilla
0.9850572089417471,0.9808073977862602,0.9228645338861259,0.948491169019506,0.9355023838954617,0.9146273037248047,0.9573526089902868,0.9383466261552095,lgb+vanilla
0.9850572089417471,0.9808073977862602,0.9228645338861259,0.948491169019506,0.9355023838954617,0.9146273037248047,0.9573526089902868,0.9383466261552095,lgb+vanilla
